LAB1 LAB2 LAB3 LAB4 LAB5 ASGN1 ASGN2 ASGN3 ASGN4 ASGN5 ASGN6 ASGN7 QZ1 QZ2 QZ3 QZ4 QZ5 QZ6 QZ7 QZ8 QZ9 QZ10 QZ11 QZ12 TST1 TST2 Final
14 15         0         0          0          10          20          20          16           20         10             0        15      6      8      7      10     0      0       0      0       0         0         0       78      80     98
14           15         15            0         15           10            20       0     20     20    20    20    15      8     9           10            10      3    10      0      9      0    10    10    82   80               82
15           14         13            0           0             7            18     20     18     20    20    18    10      2     9             4              8    10       0      5      3      0      0      0    95   75              80
13           15         13            0           0             9              0     17     19     20      8      8    11      3     0             0            10    10       0      0      3      3    10      0    68   75              73
12           14           0          14           0             8              0       0       0     20    17    18    11      6     5             3            10    10       9      0      6      4      0      0    71   75              66
14           15         12          15           0           10            20     20     20     20    20    20    13      8     3             6              0    10     10      0    10    10    10      0    84   80              84
  0           14         15            0         15           10              0       0     20     20      0    20    15      8     9             5            10    10     10      9      0      0    10      0    63   60              93
14           15         14          15         15           10            18     20     20     20    20    20    13      3     6             5            10    10     10      0      8      4    10      0    78   70              88
15           15         14            0         15             8            17     19     20       0    16    19    14      6     9             3              8    10       9      6      8      0    10    10    56   62              88
13             0         13            0           0             8            17     18     15     20    15    15    10      6     9           10              7      7       9      0    10      7    10      7    89   98              67
14           13           0            0           0           10              0       0       0       0      0      0      0      0     8             0              8      5       9      0         0      2      0      0    65   78         35
15           15        14            0         15           10            17     14     15     20    20    20    15      4     9             4              5    10     10      0      8      9    10    10    75   58              95
14           15        12          15         15           10            17     20     20       0    15    14    15      7      7     0            10    10       9    10    10      0      0    10    77   60              97
15           15        14            0         15           10            17     20     20     20    20    20    13      3      7     4            10    10     10       0      0      8      0      6    84   80              94
15           14        15            0         15             9            10     20     20     20    20    20    15      8    10     7            10      0     10       0      9    10    10    10    99   90              99
13           14   0            0           0          10            20     18       0    0       0    15    14      4              4            9              7    10       0       9      0      2      0      0    83   80              93
14           14        14          14         13          10            16     12     19        7       0      0    10      5      7    4              0      0       9       1      7      0    10      0    87   86              63
14             0        13            0           0            9            17     14     20      15     20    20    14      6      6    9              7      0     10       0    10    10    10    10    53   55              88
15           15 15          15         15            9            16     20     20      20     16      0    14      4    10    5            10      0       0       0      0    10    10    10    65   50              95
20		25			20			20		19	20	20	20	20	20	20	15 13	13	20	18	24	15 0 0 0 0 0 0		69	70	80
